Paper Name,Novelty,Simplicity,Generalization,Flexibility/Extensibility,Robustness,Realistic output,Formal description/analysis,Theoretical guarantees,Approximation,Quantitative evidence (e.g. experiments),Qualitative evidence (e.g. examples),Scientific methodology,Controllability (of model owner),Human-like mechanism,Low cost,Large scale,Promising,Generality,Principled,Exactness,Preciseness,Concreteness,Automatic,Performance,Accuracy,Avoiding train/test discrepancy,State-of-the-art,Efficiency,Reduced training time,Memory efficiency,Data efficiency,Label efficiency (reduced need for labeled data),Energy efficiency,Effectiveness,Successful,Building on classic work,Building on recent work,Unifying ideas or integrating components,Identifying limitations,Critique,Understanding (for researchers),Improvement,Progress,Used in practice/Popular,Reproducibility,Easy to implement,Requires few resources,Parallelizability / distributed,Facilitating use (e.g. sharing code),Scales up,Applies to real world,Learning from humans,Practical,Useful,Interpretable (to users),Transparent (to users),Privacy,Fairness,Not socially biased,User influence,Collective influence,Deferral to humans,Critiqability,Beneficence,Non-maleficence,Justice,Respect for Persons,Autonomy (power to decide),Explicability,Respect for Law and public interest,Security,Easy to work with,Realistic world model,Fast
ICML-2023-Repository-Level-Prompt-Generation-for-Large-Language-Models-of-Code.pdf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,6,17,0,0,2,1,0,0,1,0,0,0,5,0,0,0,2,0,2,13,0,2,0,0,2,0,0,0,0,1,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
ICML-2023-Q-learning-Decision-Transformer-Leveraging-Dynamic-Programming-for.pdf,1,0,1,0,2,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,0,0,3,2,0,0,0,0,0,1,5,0,1,0,3,0,0,3,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICML-2023-The-Unreasonable-Effectiveness-of-Few-shot-Learning-for-Machine-Translation.pdf,0,1,0,0,1,1,19,0,0,4,0,0,0,0,2,0,1,0,0,0,0,0,0,17,11,0,12,0,0,0,36,0,0,9,1,0,1,0,2,0,1,1,0,1,0,0,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ICML-2023-The-Flan-Collection-Designing-Data-and-Methods-for.pdf,0,1,10,0,0,0,0,1,0,1,0,0,0,0,4,1,1,0,0,0,0,0,0,26,4,0,1,0,1,0,25,1,1,0,0,0,0,2,0,0,6,7,1,3,0,0,3,1,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
ICML-2023-Guiding-Pretraining-in-Reinforcement-Learning-with-Large-Language-Models.pdf,43,0,1,2,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,12,4,0,2,2,0,0,2,0,0,0,2,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,1,0,0,14,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ICML-2023-mPLUG-2-A-Modularized-Multi-modal-Foundation-Model.pdf,2,0,5,17,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,23,13,0,17,3,0,0,3,0,0,5,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICML-2023-SmoothQuant-Accurate-and-Efficient.pdf,0,3,0,0,0,0,3,0,0,0,0,0,0,0,7,0,1,1,0,0,0,0,0,17,39,1,0,26,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
ICML-2023-Contrast-with-Reconstruct-Contrastive-3D-Representation-Learning.pdf,1,1,6,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,14,0,3,5,0,0,15,0,0,0,1,3,0,0,0,0,4,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICML-2023-simple-diffusion-End-to-end-diffusion-for-high-resolution-images.pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,13,5,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ICML-2023-The-case-for-4-bit-precision.pdf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,20,86,0,0,9,0,0,1,0,0,0,0,0,0,0,1,0,1,11,0,1,1,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ICML-2023-TabDDPM-Modelling-Tabular-Data-with-Diffusion-Models.pdf,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8,20,0,0,0,0,0,2,3,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICML-2023-SegCLIP-Patch-Aggregation-with-Learnable-Centers-for-Open-Vocabulary.pdf,3,1,2,2,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,10,2,0,3,0,0,0,3,0,0,1,0,0,1,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ICML-2023-Large-Language-Models-Struggle-to-Learn-Long-Tail-Knowledge.pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,16,48,0,0,3,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ICML-2023-CLIPood-Generalizing-CLIP-to-Out-of-Distributions.pdf,1,0,69,2,0,0,0,1,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,29,9,4,4,0,1,0,0,0,0,2,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICML-2023-A-Toy-Model-of-Universality.pdf,1,0,2,3,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,10,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,2
ICML-2023-BLIP-2-Bootstrapping-Language-Image-Pre-training.pdf,0,4,0,2,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,4,0,18,0,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICML-2023-Looped-Transformers-as-Programmable-Computers.pdf,0,1,1,4,0,0,2,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICML-2023-Muse-Text-To-Image-Generation-via-Masked-Generative-Transformers.pdf,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,6,0,1,0,1,0,0,1,0,0,2,2,0,0,4,1,2,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10
ICML-2023-DS-1000-A-Natural-and-Reliable-Benchmark-for-Data-Science-Code-Generation.pdf,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,12,15,0,2,3,1,0,0,0,0,0,0,0,1,0,0,0,1,5,2,7,0,0,1,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICML-2023-Consistency-Models.pdf,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,4,3,0,1,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
